Date,Cases,Deaths
2020-01-22,1,1
2020-01-23,0,0
2020-01-24,1,0
2020-01-25,0,0
2020-01-26,3,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,1,0
2020-01-30,0,0
2020-01-31,2,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,3,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,1,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,1,0
2020-02-12,0,0
2020-02-13,1,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,1,0
2020-02-18,1,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,1,0
2020-02-25,1,0
2020-02-26,1,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,7,1
2020-03-01,13,0
2020-03-02,18,5
2020-03-03,22,1
2020-03-04,34,4
2020-03-05,71,1
2020-03-06,63,2
2020-03-07,170,3
2020-03-08,121,4
2020-03-09,92,2
2020-03-10,167,5
2020-03-11,361,5
2020-03-12,452,11
2020-03-13,626,9
2020-03-14,730,9
2020-03-15,388,11
2020-03-16,1433,25
2020-03-17,1783,36
2020-03-18,2706,65
2020-03-19,4507,75
2020-03-20,6401,105
2020-03-21,5992,106
2020-03-22,8888,121
2020-03-23,11156,187
2020-03-24,10618,243
2020-03-25,12127,335
2020-03-26,17821,419
2020-03-27,18591,522
2020-03-28,22164,715
2020-03-29,20165,665
2020-03-30,22154,717
2020-03-31,26381,1079
2020-04-01,36021,1676
2020-04-02,32251,1535
2020-04-03,32401,1437
2020-04-04,31776,1619
2020-04-05,29151,1638
2020-04-06,31993,1763
2020-04-07,30150,2610
2020-04-08,31245,2152
2020-04-09,35484,2264
2020-04-10,34424,2169
2020-04-11,28952,2136
2020-04-12,26238,1914
2020-04-13,27243,2015
2020-04-14,28628,2495
2020-04-15,26052,2607
2020-04-16,29608,2195
2020-04-17,33182,2104
2020-04-18,27288,1944
2020-04-19,25428,1989
2020-04-20,30271,2259
2020-04-21,26337,2478
2020-04-22,30038,2467
2020-04-23,32094,2428
2020-04-24,31498,2068
2020-04-25,31397,1739
2020-04-26,25865,1415
2020-04-27,24807,1486
2020-04-28,24527,2232
2020-04-29,26799,2374
2020-04-30,29564,2192
2020-05-01,34850,2000
2020-05-02,26614,1745
2020-05-03,23604,1203
2020-05-04,24019,1372
2020-05-05,24054,2179
2020-05-06,24401,2321
2020-05-07,27626,1910
2020-05-08,27137,1777
2020-05-09,24145,1471
2020-05-10,18795,1007
2020-05-11,19260,1026
2020-05-12,23484,1594
2020-05-13,20068,1695
2020-05-14,25881,1769
2020-05-15,24828,1628
2020-05-16,23885,1169
2020-05-17,18714,815
2020-05-18,22392,1222
2020-05-19,20549,1428
2020-05-20,22840,1470
2020-05-21,25094,1182
2020-05-22,23842,1204
2020-05-23,19885,1078
2020-05-24,20112,653
2020-05-25,19174,600
2020-05-26,18692,653
2020-05-27,18834,1460
2020-05-28,21128,1066
2020-05-29,24775,1109
2020-05-30,22718,948
2020-05-31,18768,623
2020-06-01,17858,767
2020-06-02,20060,971
2020-06-03,19085,1000
2020-06-04,27807,1000
2020-06-05,26337,870
2020-06-06,20158,638
2020-06-07,17807,460
2020-06-08,16917,502
2020-06-09,20345,909
2020-06-10,21778,858
2020-06-11,22309,811
2020-06-12,25569,823
2020-06-13,24137,708
2020-06-14,18950,348
2020-06-15,21121,398
2020-06-16,24635,776
2020-06-17,27084,741
2020-06-18,28290,697
2020-06-19,31230,631
2020-06-20,31854,563
2020-06-21,25842,319
2020-06-22,30002,379
2020-06-23,38888,731
2020-06-24,36322,754
2020-06-25,39361,695
2020-06-26,49092,629
2020-06-27,40844,499
2020-06-28,42919,325
2020-06-29,41558,371
2020-06-30,50039,709
2020-07-01,49346,701
2020-07-02,55114,742
2020-07-03,51684,680
2020-07-04,46048,307
2020-07-05,54009,323
2020-07-06,43610,387
2020-07-07,57475,1146
2020-07-08,60483,842
2020-07-09,59823,1036
2020-07-10,68771,804
2020-07-11,60487,754
2020-07-12,60256,475
2020-07-13,59687,446
2020-07-14,65793,898
2020-07-15,66393,963
2020-07-16,70815,973
2020-07-17,66344,921
2020-07-18,64293,889
2020-07-19,59000,483
